date,time,currency,event,impact,actual,forecast,previous
2022-01-03,All Day,GBP,Bank Holiday,Low,,,
2022-01-03,2:15am,EUR,Spanish Manufacturing PMI,Medium,56.3,57.1,
2022-01-03,2:30am,CHF,Manufacturing PMI,Medium,61.2,62.5,
2022-01-03,2:45am,EUR,Italian Manufacturing PMI,Medium,61.6,62.8,
2022-01-03,2:50am,EUR,French Final Manufacturing PMI,Medium,54.9,54.9,
2022-01-03,2:55am,EUR,German Final Manufacturing PMI,Medium,57.9,57.9,
2022-01-03,3:00am,EUR,Final Manufacturing PMI,Medium,58.0,58.0,
2022-01-03,All Day,USD,Bank Holiday,Low,,,
2022-01-03,8:45am,USD,Final Manufacturing PMI,Medium,57.7,57.8,
2022-01-03,9:00am,USD,Construction Spending m/m,Medium,0.8%,0.4%,
2022-01-03,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,0.3%,
2022-01-03,6:30pm,JPY,Final Manufacturing PMI,Medium,54.3,54.2,
2022-01-04,1:30am,CHF,CPI m/m,Medium,-0.1%,0.0%,
2022-01-04,1:45am,EUR,French Prelim CPI m/m,Medium,0.3%,0.4%,
2022-01-04,2:02am,EUR,Spanish Unemployment Change,Low,-32.5K,-74.4K,
2022-01-04,2:55am,EUR,German Unemployment Change,Medium,-15K,-34K,
2022-01-04,3:30am,GBP,Final Manufacturing PMI,Medium,57.6,57.6,
2022-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,0.5%,0.6%,
2022-01-04,3:30am,GBP,Mortgage Approvals,Medium,66K,67K,
2022-01-04,3:32am,GBP,Net Lending to Individuals m/m,Medium,3.9B,2.0B,
2022-01-04,9:00am,USD,ISM Manufacturing PMI,High,60.0,61.1,
2022-01-04,9:00am,USD,JOLTS Job Openings,High,11.06M,11.09M,
2022-01-04,9:00am,USD,ISM Manufacturing Prices,Medium,79.3,82.4,
2022-01-04,All Day,USD,Wards Total Vehicle Sales,Medium,13.1M,12.9M,
2022-01-04,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2022-01-04,5:50pm,JPY,Monetary Base y/y,Medium,9.5%,9.3%,
2022-01-04,9:35pm,JPY,10-y Bond Auction,Medium,,0.06|3.2,
2022-01-04,11:00pm,JPY,Consumer Confidence,Medium,39.8,39.2,
2022-01-05,2:45am,EUR,Italian Services PMI,Medium,53.9,55.9,
2022-01-05,2:50am,EUR,French Final Services PMI,Medium,57.1,57.1,
2022-01-05,2:55am,EUR,German Final Services PMI,Medium,48.4,48.4,
2022-01-05,3:00am,EUR,Final Services PMI,Medium,53.3,53.3,
2022-01-05,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.3%,0.6%,
2022-01-05,4:33am,EUR,German 10-y Bond Auction,Medium,,-0.38|1.3,
2022-01-05,7:15am,USD,ADP Non-Farm Employment Change,High,405K,505K,
2022-01-05,8:45am,USD,Final Services PMI,Medium,57.5,57.5,
2022-01-05,9:30am,USD,Crude Oil Inventories,Medium,-3.5M,-3.6M,
2022-01-05,1:00pm,USD,FOMC Meeting Minutes,High,,,
2022-01-06,All Day,EUR,Italian Bank Holiday,Low,,,
2022-01-06,All Day,EUR,German Prelim CPI m/m,Medium,0.4%,-0.2%,
2022-01-06,3:30am,GBP,Final Services PMI,Medium,53.2,53.2,
2022-01-06,4:00am,EUR,PPI m/m,Medium,1.1%,5.4%,
2022-01-06,4:07am,EUR,French 10-y Bond Auction,Medium,,-0.19|2.7,
2022-01-06,6:30am,USD,Challenger Job Cuts y/y,Medium,,-77.0%,
2022-01-06,7:30am,USD,Unemployment Claims,Low,199K,200K,
2022-01-06,7:30am,USD,Trade Balance,Medium,-80.5B,-67.2B,
2022-01-06,9:00am,USD,ISM Services PMI,High,67.0,69.1,
2022-01-06,9:00am,USD,Factory Orders m/m,Medium,1.5%,1.2%,
2022-01-06,9:30am,USD,Natural Gas Storage,Medium,-55B,-136B,
