msg_id,file,dt_utc,reply_to,tags,raw_text
16,messages.html,2022-08-12T16:36:12+00:00,,,"Bonjour à tous, bienvenue sur le canal VIP Trading Family !  ⏎  ⏎ 🔥Tout d'abord, bravo à toi d'avoir franchi un pas de plus vers la liberté financière, en décidant de faire travailler ton argent à ta place.  ⏎  ⏎ ⚠️Il est indispensable d'avoir des notions et une certaine expérience en trading afin de tirer profit un maximum de l'ensemble de nos plans ainsi que de nos signaux de trading.  ⏎  ⏎ ❌Le trading se c"
23,messages.html,2022-08-19T07:01:20+00:00,20,tp1,TP1 ✅
24,messages.html,2022-08-19T08:00:34+00:00,23,tp2|breakeven,TP2 ✅ J’encaisse déjà 50% et je déplace le SL au point d’entrée ✔️
25,messages.html,2022-08-19T12:52:59+00:00,20,tp3,TP3 ✅🔥
26,messages.html,2022-08-19T13:00:53+00:00,25,,C’est beau quand ça fonctionne 🔥
38,messages.html,2022-08-23T12:05:49+00:00,,breakeven,⌛️Surveillance activée sur CHZ/USDT - M5 📈 ⏎  ⏎ 👉🏼Une explosion des volumes a eu lieu ces derniers jours. Un point d’entrée intéressant apparaît en cas de cassure de cette trendline combinée à une potentielle cassure de trendline sur le RSI pour profiter de la forte tendance haussière.
40,messages.html,2022-08-23T13:08:27+00:00,39,tp1,TP1 🔥✅
41,messages.html,2022-08-23T13:11:54+00:00,40,,"✔️Sécurisation du trade pour ne pas perdre, et je prend 25% du montant ✅"
43,messages.html,2022-08-23T13:18:12+00:00,,closed,"Ça s’envole, je sors 75% de ma position ✅"
44,messages.html,2022-08-23T13:51:04+00:00,35,,✅TP1
45,messages.html,2022-08-23T21:12:53+00:00,39,tp3,TP3 pour les plus patients ✅
47,messages.html,2022-08-23T21:32:49+00:00,46,,"👉🏼Cassure de range  ⏎ 👉🏼Augmentation des volumes sur cassure  ⏎ 👉🏼Rebond sur le niveau 0,786 Fibo de la dernière vague de hausse  ⏎ 👉🏼Je vise un simple rebond au sein de cette tendance baissière court terme"
50,messages.html,2022-08-24T09:27:57+00:00,36,tp1,TP1 ✅
52,messages.html,2022-08-24T12:34:44+00:00,29,,🎯Surveillance activée sur le GBP/AUD en cas de cassure de ce triangle descendant également  ⏎  ⏎ 👉🏼Possibilité de renforcer la position pour ceux déjà dedans ✔️
55,messages.html,2022-08-25T09:38:09+00:00,53,closed,"✅TP2, je clôture 80% de ma position court terme"
62,messages.html,2022-08-26T12:21:30+00:00,60,,"Les signaux sont les suivants :  ⏎ - Ligne de résistance oblique en journalier avec deux bougies dont les mèches sont très importantes  ⏎ - Moyenne mobile exponentielle 200 en résistance en journalier  ⏎ - Zone de résistance en M30/M15  ⏎  ⏎ 👉🏼Il s’agit souvent de « coup d’épée dans l’eau » sur des actifs peu capitalisés lorsque le prix pump en 2 jours sans aucune raison, la descente est souvent brutale"
65,messages.html,2022-08-28T21:55:19+00:00,64,,🎯Plan AUD/USD - H4
70,messages.html,2022-08-29T14:22:21+00:00,29,,🎯Trade bien orienté sur le GBP/AUD ✅
73,messages.html,2022-08-30T08:41:42+00:00,72,breakeven|closed,✅TP2 je sors 50% de ma position et je passe mon SL au point d’entrée
75,messages.html,2022-08-30T13:35:08+00:00,,tp_generic,✔️Vente ETH/USDT 1571 ⏎  ⏎ TP à venir ✅
76,messages.html,2022-08-30T13:39:14+00:00,75,,❌SL 1665 ⏎ ✅TP1 1505 ⏎ ✅TP2 1389 ⏎ ✅TP3 (bonus) 1212
77,messages.html,2022-08-30T13:48:25+00:00,,breakeven,"Les signaux baissiers sont les suivants :  ⏎  ⏎ En unité H4 :  ⏎ - Épaule-tête-épaule validée  ⏎ - Death cross des moyennes mobiles 50 et 200  ⏎ - Niveau de résistance sur le RSI  ⏎ - Trendline oblique descendante avec bougie de refus à l’approche de celle-ci  ⏎ - Niveau Fibonacci 0,618 de la dernière vague de baisse  ⏎  ⏎ En unité M30  ⏎ - Double top en cours de validation sur le RSI  ⏎  ⏎ En unité M5  ⏎ - Superbe point d"
80,messages.html,2022-08-30T18:46:17+00:00,76,tp1|breakeven,TP1 🔥✅ Je prend 20% de ma position et je place mon SL au point d’entrée ✔️
81,messages.html,2022-08-30T21:13:32+00:00,27,,✔️Le Gold se dirige à la baisse comme prévu
84,messages.html,2022-08-31T14:03:31+00:00,82,,✔️Ce signal devra être en corrélation avec un baisse de l’indice du dollar et une cassure de son support actuel en H4
86,messages.html,2022-08-31T14:51:31+00:00,85,,✔️Épaule-tête-épaule validée en H4  ⏎ ✔️Death cross entre les moyennes mobiles 50 et 200 en H4  ⏎ ✔️Anticipation d’une cassure de trendline RSI en journalier qui pourrait accélérer la chute  ⏎ ✔️Tendance de fond baissière en hebdomadaire et en journalier  ⏎  ⏎ ⚠️Volatilité attendu à 16h00
88,messages.html,2022-08-31T17:11:07+00:00,87,,✔️Toujours sur notre épaule-tête-épaule en journalier/H4 avec un superbe signal d’entrée :  ⏎ - Double top en M30  ⏎ - Épaule-tête-épaule validée sur le RSI en M30
90,messages.html,2022-09-01T13:10:21+00:00,89,,Les signaux baissiers sont les suivants :  ⏎  ⏎ Unité H4  ⏎ - Tendance de fond baissière  ⏎ - Cassure de trendline avec pullback et bougie rouge agressive ⏎ - Cassure de trendline sur le RSI  ⏎ - Moyenne mobile 50 et 200 au-dessus du prix validant cette tendance baissière  ⏎ - L’ensemble des paires XXX/JPY montre des signaux de faiblesse
92,messages.html,2022-09-01T16:10:08+00:00,85,tp1|closed,TP1 ✅ Je sors 20% et je garde mon SL en place
93,messages.html,2022-09-02T09:35:03+00:00,89,,❌SL
96,messages.html,2022-09-02T17:54:47+00:00,76,,"⏳L’Ethereum donne du fil à retordre, il reste cependant dans une zone importante de polarité. Patience…"
97,messages.html,2022-09-04T10:36:09+00:00,29,breakeven,"✅Trade bien orienté sur le GBP/AUD  ⏎  ⏎ 🎯Étant rentré sur le haut du range, j’ai déjà encaissé 30% et passé le SL au point d’entrée"
98,messages.html,2022-09-04T10:37:40+00:00,91,,✅Bravo à ceux ayant suivi le plan  sur le GBP/CAD✔️ ⏎  ⏎ 🎯Je n’étais malheureusement pas devant l’écran pour rentrer dans ce trade
102,messages.html,2022-09-06T14:21:06+00:00,99,,✅L’EUR/CAD est bien orienté 📉
103,messages.html,2022-09-06T14:24:00+00:00,85,,✅Possibilité de prendre un autre trade à la vente en plus de la position actuelle sur l’AUD/USD  ⏎  ⏎ - Cassure de support  ⏎ - Cassure de trendline RSI ⏎ - Tendance court terme baissière (moyennes mobiles confirment cette tendance)
104,messages.html,2022-09-06T14:31:02+00:00,97,closed,"✅Possibilité de renforcer sa position à la vente également sur le GBP/AUD (H4) ⏎  ⏎ - Trendline en résistance  ⏎ - Trendline RSI en résistance ⏎ - Bougie pendu clôturée ⏎ - Tendance baissière  ⏎ - Niveau 0,382 de Fibonacci de la dernière vague de baisse"
106,messages.html,2022-09-06T21:49:06+00:00,85,,✅TP2
108,messages.html,2022-09-07T13:36:29+00:00,103,,🎯J’encaisse 20% de ma position court terme ✅
109,messages.html,2022-09-07T13:37:05+00:00,104,,🎯Trade bien orienté sur le GBP/AUD ✅
114,messages.html,2022-09-08T15:48:19+00:00,112,,Les signaux sont les suivants :  ⏎ - Zone de résistance importante  ⏎ - Épaule-tête-épaule en formation  ⏎ - RSI en surachat  ⏎ - Les paires XXX/JPY présentent des signaux de faiblesse
116,messages.html,2022-09-09T07:02:18+00:00,112,,❌SL
119,messages.html,2022-09-09T12:40:40+00:00,,closed,🎯Surveillance activée sur CHZ/USDT - H4  ⏎  ⏎ - Potentielle bougie pendu en H4 (attente de la clôture)  ⏎ - Moyenne mobile 50 en résistance  ⏎ - Trendline en résistance  ⏎ - Zone de résistance horizontale
120,messages.html,2022-09-09T12:43:44+00:00,,closed,🎯Setup vendeur sur l’EUR/CAD en H1  ⏎  ⏎ ⏳Attente de la clôture de la bougie H1 en-dessous de la trendline pour prendre position 📉
122,messages.html,2022-09-09T13:03:38+00:00,121,,⚠️Volatilité importante attendue à 14H30 avec des chiffres économiques au Canada
123,messages.html,2022-09-10T00:02:38+00:00,,closed,"😴Pour les nocturnes  ⏎  ⏎ 🎯Un potentiel superbe setup baissier se présente sur ETH/USDT  ⏎  ⏎ Graphique H4 :  ⏎ - Zone de résistance  ⏎  ⏎ Graphique H1 :  ⏎ - Trendline en résistance passant par l’ensemble des précédents plus haut (30 août, 2 septembre, 9 septembre)  ⏎  ⏎ Graphique M30 :  ⏎ - Épaule-tête-épaule en cours de validation  ⏎ - Combinaison potentielle à une cassure de trendline  ⏎ - Trendline RSI en résistance  ⏎ "
129,messages.html,2022-09-11T20:39:21+00:00,104,,GBP/AUD ✅🔥
144,messages.html,2022-09-13T16:11:01+00:00,143,,"- Tendance de fond baissière  ⏎ - Potentielle 5ième vague d’impulsion selon la théorie des vagues d’Elliott  ⏎ - Niveau 0,5 du retracement de Fibonacci de la dernière vague de baisse  ⏎ - Double top validé  ⏎ - Cassure de trendline  ⏎ - Cassure de support sur le RSI"
145,messages.html,2022-09-13T16:12:48+00:00,144,,Vague d’Elliott en image ✔️
146,messages.html,2022-09-13T16:13:32+00:00,144,,"Niveau 0,5 du retracement de Fibonacci en image ✔️"
148,messages.html,2022-09-13T20:03:44+00:00,137,breakeven|closed,✅TP1 je sors 50% de ma position et place le SL au point d’entrée ✔️
149,messages.html,2022-09-14T06:48:31+00:00,147,breakeven|closed,✅TP1 je sors 50% de ma position et place mon SL au point d’entrée ✔️
152,messages.html,2022-09-15T15:54:20+00:00,151,,"-10% en quelques minutes 🤯  ⏎  ⏎ Bravo à ceux dedans, je n’y suis pas personnellement"
153,messages.html,2022-09-15T17:58:07+00:00,27,,🎯Le Gold continu ça baisse comme prévu lors de l’analyse précédente 📉
154,messages.html,2022-09-16T09:45:10+00:00,147,,✅TP2 explosé 🔥
157,messages.html,2022-09-16T14:15:17+00:00,156,,- Forte tendance baissière  ⏎ - Cassure de trendline validée sur le prix  ⏎ - Cassure de trendline RSI ⏎ - Bougie hebdomadaire englobante baissière (pas encore validée)
158,messages.html,2022-09-18T20:04:25+00:00,156,,⏳Trade bien orienté sur OP/USDT
159,messages.html,2022-09-18T20:33:27+00:00,151,,⏳La baisse continue sur l’Ethereum 📉
160,messages.html,2022-09-18T22:48:14+00:00,156,breakeven|closed,✅TP1 je sors 50% et place mon SL au point d’entrée
161,messages.html,2022-09-19T13:43:13+00:00,28,,⏳L’analyse sur l’EUR/SGD s’était validée au point près 🙌🏼
162,messages.html,2022-09-19T13:44:33+00:00,85,breakeven|closed,✅TP2 je sors 50% de ma position et place mon Stop loss au point d’entrée 🔥
166,messages.html,2022-09-20T13:40:26+00:00,155,,🎯Au point près concernant l’analyse de MATIC/USDT 📉🔥
168,messages.html,2022-09-20T15:30:51+00:00,167,breakeven,✔️Tendance baissière court terme  ⏎ ✔️Moyennes mobiles 50 et 200 orientées à la baisse  ⏎ ✔️Trendline inférieure en résistance  ⏎ ✔️Trendline oblique en résistance  ⏎ ✔️Point d’entrée intéressant en M30
179,messages.html,2022-09-23T11:42:13+00:00,178,closed,"🎯C’est parti très fort, je sors 70% de ma position et je laisse couler (News importante pour le CAD à 14h30 attention)"
180,messages.html,2022-09-23T14:38:22+00:00,150,,🎯L’analyse se confirme sur l’EUR/USD 📉
183,messages.html,2022-09-23T20:15:13+00:00,179,closed,🎯Je sors 100% de ma position avant le week-end 🔥
185,messages.html,2022-09-24T22:30:26+00:00,184,closed,✅TP1 je sors 20% de ma postion
186,messages.html,2022-09-25T20:12:43+00:00,169,,🎯Je ne suis pas dedans personnellement mais l’analyse se confirme sur LUNC/USDT 📉
187,messages.html,2022-09-26T13:35:11+00:00,85,,✅TP3 🔥
190,messages.html,2022-09-26T14:24:50+00:00,188,,- Tendance fortement baissière  ⏎ - Cassure d’une phase de latéralisation  ⏎ - Death cross entre les moyennes mobiles 50 et 200 en H4
192,messages.html,2022-09-26T14:53:28+00:00,191,,- Zone support importante sur les 3 indices américains  ⏎ - Cassure de trendline  ⏎ - Reprise d’une tendance haussière sur le RSI ⏎ - Cassure d’une zone de résistance
194,messages.html,2022-09-26T17:32:48+00:00,184,breakeven,✅TP2 je déplace mon SL au point d’entrée
195,messages.html,2022-09-26T17:33:18+00:00,191,,❌SL
201,messages.html,2022-09-27T17:43:16+00:00,200,,🎯Trade bien orienté ✅
202,messages.html,2022-09-27T20:28:52+00:00,200,breakeven|closed,✅TP1 je sors 20% et place mon SL au point d’entrée
203,messages.html,2022-09-28T07:02:38+00:00,193,breakeven,🎯Je sécurise le trade SL au point d’entrée ✅
204,messages.html,2022-09-28T08:01:45+00:00,200,,✅TP2 possibilité de sortir 20%
207,messages.html,2022-09-28T17:32:23+00:00,206,,👉🏼Sans oublier un détail très important : une hausse importante des volumes
