msg_id,file,dt_utc,asset_raw,ticker,testable,direction,dir_source,entry,sl,tp1,tp2,tp3,tp4,n_tp,rr_stated,trade_type,has_photo,sanity_ok,sanity_note,raw_text
20,messages.html,2022-08-18T14:58:01+00:00,ETH/USDT,ETHUSD,True,SELL,keyword,1861.0,1918.0,1829.0,1792.0,1706.0,,3,,,True,True,,🎯Setup de qualité sur ETH/USDT 📉 ⏎  ⏎ Graphique H4 :  ⏎ - Moyenne mobile exponentielle (MME) 200 en résistance dynamique  ⏎ - Cassure de trendline sur le prix  ⏎ - Cassure de trendline sur le RSI  ⏎ - Bougie pendu en cours ⏎  ⏎ Graphique H1  ⏎ - Ligne de cou d’une épaule-tête-épaule validée en résistance  ⏎ - Death cross en cours entre MME200 et MME50  ⏎  ⏎ Graphique M15  ⏎ - Tendance de fond baissière  ⏎ - Trendline sur le RSI bien dessiné  ⏎  ⏎ Je vends l’ETH à 1861 📉 ⏎ ❌SL 1918 ⏎ ✅TP1 1829 ⏎ ✅TP2 1792 ⏎ ✅TP3 1706
34,messages.html,2022-08-22T16:04:11+00:00,AUD/JPY,AUDJPY,True,SELL,geometry,94.42,94.996,93.801,93.142,92.41,4.0,4,,,False,False,TP4 hors plage (x0.04),"✔️AUD/JPY 94,420 ⏎ ❌SL 94,996 ⏎ ✅TP1 93,801 ⏎ ✅TP2 93,142 ⏎ ✅TP3 92,410  ⏎ ✅TP4 (Bonus) 90,982"
35,messages.html,2022-08-22T16:06:43+00:00,CHF/JPY,CHFJPY,False,SELL,geometry,142.517,143.378,141.93,140.779,3.0,,3,,,False,False,TP3 hors plage (x0.02),"✔️CHF/JPY 142,517 ⏎ ❌SL 143,378 ⏎ ✅TP1 141,930 ⏎ ✅TP2 140,779 ⏎ ✅TP3 (Bonus) 139,095"
36,messages.html,2022-08-22T16:11:27+00:00,EUR/JPY,EURJPY,True,SELL,geometry,136.773,138.167,135.635,133.593,3.0,,3,,,False,False,TP3 hors plage (x0.02),"✔️EUR/JPY 136,773  ⏎ ❌SL 138,167 ⏎ ✅TP1 135,635 ⏎ ✅TP2 133,593 ⏎ ✅TP3 (Bonus) 129,608"
39,messages.html,2022-08-23T12:58:09+00:00,CHZ/USDT,CHZUSDT,False,BUY,keyword,0.2221,0.215,0.226,0.231,3.0,,3,,,False,False,TP3 hors plage (x13.51),"✔️Achat CHZ/USDT 0,2221 ⏎ ✅TP1 0,2260 ⏎ ✅TP2 0,2310 ⏎ ✅TP3 (Bonus) 0,2450 ⏎ ❌SL 0,2150"
46,messages.html,2022-08-23T21:24:19+00:00,AVAX/USDT,AVAXUSDT,False,BUY,keyword,23.4,22.38,24.08,25.23,,,2,,,True,True,,"✔️Achat AVAX/USDT 23,40 ⏎ ❌SL 22,38 ⏎ ✅TP1 24,08 ⏎ ✅TP2 25,23"
53,messages.html,2022-08-24T17:13:55+00:00,GBP/AUD,GBPAUD,False,SELL,keyword,1.70683,1.71133,1.70322,1.6981,3.0,,3,,,False,False,TP>=entry pour SELL,"Je relance un trade plus court terme en plus de mon trade moyen terme ✅ ⏎  ⏎ ✔️Vente GBP/AUD 1,70683 ⏎ ❌SL 1,71133 ⏎ ✅TP1 1,70322 ⏎ ✅TP2 1,69810 ⏎ ✅TP3 (Bonus) 1,62844"
60,messages.html,2022-08-26T12:15:29+00:00,BLZ/USDT,BLZUSDT,False,SELL,keyword,0.1209,0.1268,0.1145,0.103,3.0,,3,,,True,False,TP>=entry pour SELL; TP3 hors plage (x24.81),"✔️Vente BLZ/USDT 0,1209 ⏎ ❌SL 0,1268 ⏎ ✅TP1 0,1145 ⏎ ✅TP2 0,1030 ⏎ ✅TP3 (Bonus) 0,0945 ⏎  ⏎ ⚠️ Très risqué sur un actif volatil, stop loss serré"
72,messages.html,2022-08-29T16:55:39+00:00,CHF/JPY,CHFJPY,False,SELL,keyword,143.189,143.475,143.029,142.799,142.427,,3,,,False,True,,"✔️Vente CHF/JPY 143,189 ⏎ ✅TP1 143,029  ⏎ ✅TP2 142,799 ⏎ ✅TP3 142,427  ⏎ ❌SL 143,475"
85,messages.html,2022-08-31T14:45:23+00:00,AUD/USD,AUDUSD,False,SELL,keyword,0.68601,0.69207,0.68155,0.67305,3.0,,3,,,True,False,TP>=entry pour SELL; TP3 hors plage (x4.37),"✔️Vente AUD/USD 0,68601  ⏎ ✅TP1 0,68155 ⏎ ✅TP2 0,67305 ⏎ ✅TP3 (Bonus) 0,65987 ⏎ ❌SL 0,69207"
87,messages.html,2022-08-31T16:39:14+00:00,ETH/USDT,ETHUSD,True,SELL,keyword,1566.0,1733.0,1432.0,1206.0,1047.0,,3,,,False,True,,✔️Vente ETH/USDT 1566 ⏎ ❌SL 1733 ⏎ ✅TP1 1432 ⏎ ✅TP2 1206 ⏎ ✅TP3 1047
89,messages.html,2022-09-01T13:07:55+00:00,GBP/JPY,GBPJPY,True,SELL,keyword,161.12,162.122,160.384,159.534,158.437,,3,,,True,True,,"✔️Vente GBP/JPY 161,120 ⏎ ❌SL 162,122 ⏎ ✅TP1 160,384 ⏎ ✅TP2 159,534 ⏎ ✅TP3 158,437"
112,messages.html,2022-09-08T15:46:11+00:00,GBP/JPY,GBPJPY,True,SELL,keyword,165.51,166.023,165.168,164.575,163.81,,3,,,True,True,,"✔️Vente GBP/JPY 165,510 ⏎ ❌SL 166,023 ⏎ ✅TP1 165,168 ⏎ ✅TP2 164,575 ⏎ ✅TP3 163,810"
121,messages.html,2022-09-09T13:03:00+00:00,EUR/CAD,EURCAD,False,SELL,keyword,1.3073,1.31632,1.3017,1.29832,1.28847,,3,,,False,True,,"✔️Vente EUR/CAD 1,30730 ⏎ ❌SL 1,31632 ⏎ ✅TP1 1,30170 ⏎ ✅TP2 1,29832 ⏎ ✅TP3 1,28847"
130,messages.html,2022-09-11T20:42:31+00:00,GBP/NZD,GBPNZD,False,SELL,keyword,1.89658,1.90174,1.892,1.884,,,2,,,True,True,,"🎯Analyse GBP/NZD - M30  ⏎  ⏎ - Tendance baissière court terme  ⏎ - Death cross des moyennes mobiles 50 et 200  ⏎ - Drapeau baissier validée  ⏎ - Le prix est venu buter sur une trendline baissière  ⏎  ⏎ Si l’ouverture reste au même niveau :  ⏎ ✔️Vente 1,89658 ⏎ ❌SL 1,90174  ⏎ ✅TP1 1,89200 ⏎ ✅TP2 1,88400"
137,messages.html,2022-09-12T13:17:53+00:00,AUD/CHF,AUDCHF,False,SELL,keyword,0.6557,0.66233,0.64937,0.64137,,,2,,,True,True,,"🎯Graphique AUD/CHF - H4  ⏎  ⏎ 👉🏼Certains sont peut être déjà rentrer sur la cassure du drapeau baissier en journalier  ⏎  ⏎ 👉🏼Une nouvelle porte d’entrée sur le marché est possible avec ce pullback suite à une cassure de range par le bas en H4  ⏎  ⏎ ✔️Vente 0,65570 ⏎ ❌SL 0,66233 ⏎ ✅TP1 0,64937 ⏎ ✅TP2 0,64137"
138,messages.html,2022-09-12T13:53:49+00:00,ATOM/USDT,ATOMUSDT,False,BUY,keyword,16.138,15.104,16.505,17.18,18.3,,3,,,True,True,,"✔️J’achète ATOM/USDT 16,138 ⏎ ❌SL 15,104 ⏎ ✅TP1 16,505 ⏎ ✅TP2 17,180 ⏎ ✅TP3 18,30"
143,messages.html,2022-09-13T16:08:55+00:00,petrole,USOIL,True,SELL,keyword,86.91,89.66,83.52,81.36,78.1,,3,,,True,True,,"✔️Vente Pétrole 86,91 ⏎ ❌SL 89,66 ⏎ ✅TP1 83,52 ⏎ ✅TP2 81,36 ⏎ ✅TP3 78,10"
147,messages.html,2022-09-13T16:27:58+00:00,GBP/JPY,GBPJPY,True,SELL,keyword,166.277,167.138,165.533,164.54,,,2,,,True,True,,"✔️Vente GBP/JPY 166,277 ⏎ ❌SL 167,138 ⏎ ✅TP1 165,533 ⏎ ✅TP2 164,540"
156,messages.html,2022-09-16T14:12:53+00:00,OP/USDT,OPUSDT,False,SELL,keyword,1.098,1.256,0.995,0.79,,,2,,,True,True,,"✔️Vente OP/USDT 1,098 ⏎ ❌SL 1,256 ⏎ ✅TP1 0,995 ⏎ ✅TP2 0,790"
