msg_id,ticker,direction,dt_utc,entry_signal,entry_fill,sl,risk,entry_bar_ts,fill_gap_R,bars_held,nights,mfe_R,mae_R,r_tp1,out_tp1,r_scaleout,out_scaleout,r_hold,out_hold
20,ETHUSD,SELL,2022-08-18T14:58:01+00:00,1861.0,1853.8,1918.0,64.2,2022-08-18 15:00:00+00:00,0.112,21,1,2.688,-0.363,0.3146,TP1,0.9377,TP3,2.2305,TP3
87,ETHUSD,SELL,2022-08-31T16:39:14+00:00,1566.0,1542.7,1733.0,190.3,2022-08-31 17:00:00+00:00,0.122,212,9,0.285,-1.054,-1.0284,SL,-1.0284,SL,-1.0284,SL
89,GBPJPY,SELL,2022-09-01T13:07:55+00:00,161.12,161.1755,162.122,0.9465,2022-09-01 14:00:00+00:00,-0.059,16,1,0.11,-1.068,-1.047,SL,-1.047,SL,-1.047,SL
112,GBPJPY,SELL,2022-09-08T15:46:11+00:00,165.51,165.4035,166.023,0.6195,2022-09-08 16:00:00+00:00,0.172,9,1,0.253,-1.037,-1.0718,SL,-1.0718,SL,-1.0718,SL
147,GBPJPY,SELL,2022-09-13T16:27:58+00:00,166.277,166.2715,167.138,0.8665,2022-09-13 17:00:00+00:00,0.006,50,2,2.059,-0.265,0.8009,TP1,1.3589,TP2,1.9169,TP2
225,AUDJPY,SELL,2022-10-04T13:44:11+00:00,93.832,93.651,97.334,3.683,2022-10-04 14:00:00+00:00,0.049,1080,13,0.764,-0.567,0.6886,TP1,0.3002,BE,0.1045,TIMEOUT
252,ETHUSD,SELL,2022-10-11T14:53:17+00:00,1284.13,1275.3,1342.53,67.23,2022-10-11 15:00:00+00:00,0.131,296,2,1.272,-1.379,0.4632,TP1,0.1966,BE,-1.0848,SL
291,ETHUSD,SELL,2022-10-19T15:00:02+00:00,1293.5,1297.9,1309.33,11.43,2022-10-19 16:00:00+00:00,-0.385,45,1,4.068,-0.884,0.895,TP1,0.2463,BE,2.4024,TP2
294,GBPJPY,BUY,2022-10-20T13:31:10+00:00,168.953,168.6095,167.16,1.4495,2022-10-20 14:00:00+00:00,-0.237,25,1,0.766,-1.208,-1.0059,SL,-1.0059,SL,-1.0059,SL
302,ETHUSD,SELL,2022-10-21T13:08:56+00:00,1275.1,1279.0,1297.4,18.4,2022-10-21 14:00:00+00:00,-0.212,3,0,0.293,-1.141,-1.2446,SL,-1.2446,SL,-1.2446,SL
